
활성 연결

  프로토콜  로컬 주소              외부 주소              상태            PID
  TCP    [::1]:3306             [::1]:58477            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58478            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58479            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58480            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58481            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58482            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58483            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58484            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58485            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58486            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58487            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58488            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58489            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58490            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58491            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58494            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58495            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58496            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58497            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58498            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58499            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58500            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58501            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58505            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58522            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58525            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58526            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58527            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58528            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58529            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58530            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58531            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58532            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58533            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58534            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58536            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58537            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58538            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58539            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58540            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58541            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58542            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58546            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58547            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58549            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58550            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58553            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58554            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58555            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58556            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58557            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58558            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58559            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58560            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58561            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58562            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58563            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58564            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58565            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58567            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58570            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58571            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58572            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58573            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58575            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58576            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58577            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58578            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58579            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58580            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58581            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58582            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58583            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58584            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58585            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58586            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58587            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58588            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58589            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58590            TIME_WAIT       0
